instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
6,glucose41,546,12,4.409093465999945,53350,82111,15,10378,0.001307251000071119,0,5771,546,658,0.0049060110000027635
6,cadical153,546,12,3.895882895999989,58236,99854,24,13222,0.0011105270000371092,0,5839,0,662,0.004293587000006482
6,lingeling,546,12,33.929829401000006,139521,207935,1,20699,0.004392740000071171,4954,5021,0,543,0.007978417999993326
7,minisat22,546,12,2.2220489740000176,32250,43772,28,5195,0.0013781339999923148,0,5850,546,638,0.0031629850000172155
7,glucose41,546,12,5.932972843000016,57408,86527,22,11215,0.0014983759999722679,0,5850,546,638,0.005894410000109929
7,cadical153,546,12,4.254190807999976,55871,93688,24,13344,0.0017229369999540722,0,5835,0,626,0.0035223789999463406
7,lingeling,546,12,19.16133502999992,72204,105044,4,11536,0.0033961579999868263,5039,5084,0,545,0.008405104999951618
8,minisat22,546,12,1.975919073,33376,45670,28,5217,0.001748312999893642,0,5697,546,591,0.0031175599999642145
8,glucose41,546,12,3.7151340909999817,46720,71371,15,9796,0.0019220529999302016,0,5697,546,591,0.0052703529999007515
8,cadical153,546,12,6.095866636999972,90563,152796,131,20114,0.001417976000084309,0,5715,0,592,0.0037395159999960015
8,lingeling,546,12,35.5246699490001,136248,205751,2,20509,0.004582464000009168,5040,5059,0,541,0.008575906000032774
9,minisat22,547,12,1.6747614689999182,28340,38157,24,4565,0.0016922089999980017,0,5784,547,640,0.0029233500000600543
9,glucose41,547,12,5.430807196999922,62728,94871,22,12455,0.001873251999995773,0,5784,547,640,0.005503974000021117
9,cadical153,547,12,6.781737679999992,80359,144636,57,20253,0.0015774809999129502,0,5807,0,638,0.0035420290000729437
9,lingeling,547,12,33.19612806200007,124133,191855,2,21007,0.00786675200015452,5006,5077,0,544,0.00783389499997611
10,minisat22,546,12,1.4176995299999362,25448,34725,22,4059,0.0008829719999994268,0,5631,546,633,0.0026232259999687813
10,glucose41,546,12,4.9267222519999905,65712,102233,15,13678,0.0009656130000621488,0,5631,546,633,0.005299923999928069
10,cadical153,546,12,5.003350081999997,74991,126635,17,17165,0.0004752979998556839,0,5663,0,632,0.0032829560000209312
10,lingeling,546,12,30.43130048399985,130702,194438,1,19077,0.0024397739998676116,4857,4907,0,540,0.008529796000175338
11,minisat22,546,12,1.7053794470000412,29922,40869,25,4750,0.001523163999991084,0,5854,546,653,0.0026794139998855826
11,glucose41,546,12,5.053821174999939,58180,87273,22,11321,0.001712150000003021,0,5854,546,653,0.00436045100013871
